BRAND,LOC,PARENT,EST,FOU,SLOGAN,IND
HYUNDAI,서울시 서초구 헌릉로 12,현대자동차그룹,1967.12.29,정주영,New Thinking New Possiblilties,자동차 제조업
KIA,서울시 서초구 헌릉로 12,현대자동차그룹,1944.12.21,김철호,Movement that inspires,자동차 제조업
GENESIS,서울시 서초구 헌릉로 12,현대자동차그룹,2015.11.04,정몽구,인간 중심의 진보 (Human-centered Luxury),자동차 제조업
CHEVROLET,인천광역시 부평구 부평대로 233,General Motors,1955.02.00,김창원,Find New Roads,자동차 제조업
RENAULT,부산광역시 강서구 르노삼성대로 61,르노그룹,2000.09.01,이건희,Discover the difference,자동차 및 동 부분품의 제조 및 판매
KG_MOBILITY,경기도 평택시 철괴동 150-3,KG 모빌리티 홀딩스,1962.12.06,하동환,"Robust, Specialty and Premium",자동차 제조업
TOYOTA,일본 아이치현 도요타시,토요타,1937.08.28,도요타 키이치로,You are so smart,자동차 제조업
MINI,영국 옥스퍼드셔주 옥스퍼드,BMW AG,1959.08.26,윌리엄 모리스,Let's mini,자동차 제조업
AUDI,독일 바이에른주 잉골슈타트,Volkswagen AG,1909.07.16,아우구스트 호르히,기술을 통한 진보(Vorsprung durch Technik),자동차 제조업
FORD,미국 미시간주 디어본,포드,1903.06.16,헨리 포드,Go Further,자동차 제조업
VOLVO,스웨덴 베스트라여타란드주 예테보리,Zhejiang Geely Holding Group,1927.04.14,"아사르 가브리엘손, 구스타프 라르손",Design around you,자동차 제조업
VOLKSWAGEN,독일 니더작센주 볼프스부르크,Volkswagen AG,1937.05.28,페르디난트 포르쉐,Das Auto,자동차 제조업